Section;Section description;Variable;Variable description;Relevance
iA;Identification Information;iA2;Gender;
iA;Identification Information;iA4;Marital Status;
iA;Identification Information;iA8;Reason for Assessment;
iA;Identification Information;iA9;Reference Date;
iA;Identification Information;iA12a;Living Arrangement;
iA;Identification Information;iA12b;Lives w/someone new;HC only
iA;Identification Information;iA12c;Better Living Elsewhere;HC only
iA;Identification Information;iA13;Time since last hospital stay;
iB;Intake and Initial History;iB5a;History-LTCF;
iB;Intake and Initial History;iB5b;History-Board and care home;
iB;Intake and Initial History;iB5c;History-Psych hosp/unit ;
iB;Intake and Initial History;iB5d;History-Intellectual disability;
iB;Intake and Initial History;iB5e;History-Mental health residence;
iB;Intake and Initial History;iB6;Level of Control;
iB;Intake and Initial History;iB7;History of Mental Illness;
iC;Cognition;iC1;Daily Decision Making;
iC;Cognition;iC2a;Short-term Memory;
iC;Cognition;iC2b;Procedural Memory;
iC;Cognition;iC2c;Situational Memory;
iC;Cognition;iC2d;Long-term Memory;LTC only
iC;Cognition;iC3a;Easily Distracted;
iC;Cognition;iC3b;Disorganized Speech;
iC;Cognition;iC3c;Mental function varies over day;
iC;Cognition;iC4;Acute change in Mental Status;
iC;Cognition;iC5;Change in Decision Making;
iD;Communication and Vision;iD1;Making self understood;
iD;Communication and Vision;iD2;Ability to understand others;
iD;Communication and Vision;iD3a;Hearing;
iD;Communication and Vision;iD3b;Hearing aid used;
iD;Communication and Vision;iD4a;Vision: Ability to see in adequate light;
iD;Communication and Vision;iD4b;Visual appliance used;
iE;Mood and Behaviour;iE1a;Negative statements;
iE;Mood and Behaviour;iE1b;Anger;
iE;Mood and Behaviour;iE1c;Unrealistic fears;
iE;Mood and Behaviour;iE1d;Repetitive health complaints;
iE;Mood and Behaviour;iE1e;Repetitive anxious complaints (non-health-related);
iE;Mood and Behaviour;iE1f;Sad, pained, or worried facial expressions;
iE;Mood and Behaviour;iE1g;Crying;
iE;Mood and Behaviour;iE1h;Recurrent statements;
iE;Mood and Behaviour;iE1i;Withdrawal from activities of interest;
iE;Mood and Behaviour;iE1j;Reduced social interactions;
iE;Mood and Behaviour;iE1k;Lack of pleasure (anhedonia);
iE;Mood and Behaviour;iE2a;Self report: Little interest or pleasure;
iE;Mood and Behaviour;iE2b;Self report: Anxious, restless, or uneasy ;
iE;Mood and Behaviour;iE2c;Self report: Sad, depressed, or hopeless;
iE;Mood and Behaviour;iE3a;Wandering;
iE;Mood and Behaviour;iE3b;Verbal abuse;
iE;Mood and Behaviour;iE3c;Physical abuse;
iE;Mood and Behaviour;iE3d;Socially inappropriate or disruptive behavior or public disrobing;
iE;Mood and Behaviour;iE3e;Resists care;
iE;Mood and Behaviour;iE3f;Inappropriate public sexual behavior;
iF;Psychosocial Well-Being;iF1a;Social activities;
iF;Psychosocial Well-Being;iF1b;Visit w/family member;
iF;Psychosocial Well-Being;iF1c;Other interaction w/ family member (e.g., telephone, email);
iF;Psychosocial Well-Being;iF1d;Lonely;
iF;Psychosocial Well-Being;iF1e;Openly expresses conflict w/family;
iF;Psychosocial Well-Being;iF1f;Fearful of family member;
iF;Psychosocial Well-Being;iF1g;Neglected or abused;
iF;Psychosocial Well-Being;iF2;Change in social activities;
iF;Psychosocial Well-Being;iF3;Time alone;
iF;Psychosocial Well-Being;iF4;Major life stressors;
iF;Psychosocial Well-Being;iF5a;At ease interacting w/others;
iF;Psychosocial Well-Being;iF5b;At ease doing planned activities;LTC only
iF;Psychosocial Well-Being;iF5c;Accepts invitations;LTC only
iF;Psychosocial Well-Being;iF5d;Pursues involvement in life of facility;LTC only
iF;Psychosocial Well-Being;iF5e;Initiates interactions;LTC only
iF;Psychosocial Well-Being;iF5f;Reacts positively to interactions;
iF;Psychosocial Well-Being;iF5g;Adjusts easily change in routine;LTC only
iF;Psychosocial Well-Being;iF7a;Conflict w/other care recipients;LTC only
iF;Psychosocial Well-Being;iF7b;Conflict w/staff;LTC only
iF;Psychosocial Well-Being;iF7c;Staff frustration;
iF;Psychosocial Well-Being;iF7d;Family overwhelmed;
iF;Psychosocial Well-Being;iF8a;Strong relationship w/family;
iF;Psychosocial Well-Being;iF8b;Consistent positive outlook;
iF;Psychosocial Well-Being;iF8c;Finds meaning (0,1);
iG;Functional Status ;iG1aa;Meal preparation - Performance;
iG;Functional Status ;iG1ab;Meal preparation - Capacity;
iG;Functional Status ;iG1ba;Housework - Performance;
iG;Functional Status ;iG1bb;Housework - Capacity;
iG;Functional Status ;iG1ca;Finance - Performance;
iG;Functional Status ;iG1cb;Finance - Capacity;
iG;Functional Status ;iG1da;Managing medications - Performance;
iG;Functional Status ;iG1db;Managing medications - Capacity;
iG;Functional Status ;iG1ea;Phone use - Performance;
iG;Functional Status ;iG1eb;Phone use - Capacity;
iG;Functional Status ;iG1fa;Stairs - Performance;
iG;Functional Status ;iG1fb;Stairs - Capacity;
iG;Functional Status ;iG1ga;Shopping - Performance;
iG;Functional Status ;iG1gb;Shopping - Capacity;
iG;Functional Status ;iG1ha;Transportation - Performance;
iG;Functional Status ;iG1hb;Transportation - Capacity;
iG;Functional Status ;iG2a;Bathing - performance;
iG;Functional Status ;iG2b;Personal hygiene - performance;
iG;Functional Status ;iG2c;Dressing upper body - performance;
iG;Functional Status ;iG2d;Dressing lower body - performance;
iG;Functional Status ;iG2e;Walking on same floor indoors - performance;
iG;Functional Status ;iG2f;Locomotion on same floor (unit) - performance ;
iG;Functional Status ;iG2g;Transfer toilet - performance;
iG;Functional Status ;iG2h;Toilet use - performance;
iG;Functional Status ;iG2i;Bed mobility - performance;
iG;Functional Status ;iG2j;Eating - performance;
iG;Functional Status ;iG3;Primary mode of locomotion;
iG;Functional Status ;iG4;Distance walked;
iG;Functional Status ;iG5;Distance wheeled;
iG;Functional Status ;iG6a;Hours exercise;
iG;Functional Status ;iG6b;Days went out;
iG;Functional Status ;iG7a;Person believes can improve;
iG;Functional Status ;iG7b;Caregiver believes can improve;
iG;Functional Status ;iG8a2;Change in ADL status (0-2,8);
iG;Functional Status ;iG9a;Drove car ;
iG;Functional Status ;iG9b;Suggestion to limit driving;
iG;Functional Status ;iG12;Timed walk;
iH;Continence;iH1;Bladder continence;
iH;Continence;iH2;Urinary collection device;
iH;Continence;iH3;Bowel continence;
iH;Continence;iH4;Pads worn;
iH;Continence;iH5;Ostomy;
iI;Diseases and Diagnoses;iI1a;Hip fracture;
iI;Diseases and Diagnoses;iI1b;Other fracture;
iI;Diseases and Diagnoses;iI1c;Alzheimer's disease;
iI;Diseases and Diagnoses;iI1d;Other dementia;
iI;Diseases and Diagnoses;iI1e;Hemiplegia;
iI;Diseases and Diagnoses;iI1f;Multiple sclerosis (MS);
iI;Diseases and Diagnoses;iI1g;Paraplegia;
iI;Diseases and Diagnoses;iI1h;Parkinson's disease;
iI;Diseases and Diagnoses;iI1i;Quadriplegia;
iI;Diseases and Diagnoses;iI1j;Stroke/CVA;
iI;Diseases and Diagnoses;iI1k;Coronary heart disease;
iI;Diseases and Diagnoses;iI1l;Congestive heart failure (CHF);
iI;Diseases and Diagnoses;iI1m;Chronic obstructive pulmonary disease (COPD);
iI;Diseases and Diagnoses;iI1n;Anxiety;
iI;Diseases and Diagnoses;iI1o;Depression;
iI;Diseases and Diagnoses;iI1p;Schizophrenia;
iI;Diseases and Diagnoses;iI1q;Pneumonia during last 30 days;
iI;Diseases and Diagnoses;iI1r;Urinary tract infection (UTI) during last 30 days;
iI;Diseases and Diagnoses;iI1s;Cancer;
iI;Diseases and Diagnoses;iI1t;Diabetes Mellitus;
iI;Diseases and Diagnoses;iI1w;Bipolar disorder;
iJ;Health Conditions;iJ1;Falls (or use new Falls items iJ1g, iJ1h, iJ1i);
iJ;Health Conditions;iJ2a;Difficulty standing;
iJ;Health Conditions;iJ2b;Difficulty turning around;
iJ;Health Conditions;iJ2c;Dizziness;
iJ;Health Conditions;iJ2d;Unsteady gait;
