WP;Name/File;Purpose;Contact person;Creators;Creation date;License;Location in repository;
WP3;Validation of operationalized patient groups;Identifies multimorbidity patterns in long-term care recipients across jurisdictions using latent class analysis on interRAI LTCF/HC data.;Davide Liborio Vetrano;Hao Luo and Yi Chai;2022 (last updated April, 2022);GNU General Public License ;Request from contact person;
WP3;Characterization HC and NH patients' groups;Applies Latent Class Analysis weights from Canadian data to an external database for validation.;Davide Liborio Vetrano;Hao Luo and Yi Chai;2022 (last updated November, 2022);GNU General Public License ;Request from contact person;
WP4;Prediction Model for Hospitalization Among Home Care Residents;Predict hospitalisation among adult home care clients.;John N Morris;John N Morris, Margaret Bryan;2021-2025;;DataUsage/WP4/HomeCare/algorithms;
WP4;Prediction Model for Cognitive Decline Among Home Care Residents;Examine cognitive performance changes in older adult home care clients and develop a validated model to predict these changes.;John N Morris;John N Morris;2021-2025;;DataUsage/WP4/HomeCare/algorithms;
WP4;Prediction Model for Death Among Home Care Residents;Develop a model to predict proximity to death for home care clients.;John N Morris;John N Morris;2021-2025;;DataUsage/WP4/HomeCare/algorithms;
WP4;Prediction Model for Functional Decline Among Home Care Residents;Assess changes in instrumental activities of daily living (IADL) among adult home care clients and develop a predictive risk model.;John N Morris;John N Morris;2021-2025;;DataUsage/WP4/HomeCare/algorithms;
WP4;Prediction Model for Change in Quality of Life Among Home Care Residents;Report on health-related quality of life (QoL) among adult home care clients and develops a model to predict the risk of QoL decline.;John N Morris;John N Morris;2021-2025;;DataUsage/WP4/HomeCare/algorithms;
WP4;Prediction Model for Change in Frailty Among Home Care Residents;Describe frailty in older adult home care clients, track changes over 11 months, identy factors affecting decline or improvement, and create a validated risk scale to predict frailty shifts.;John N Morris;John N Morris;2021-2025;;DataUsage/WP4/HomeCare/algorithms;
WP4;Prediction Model for Hospitalization Among Nursing Home Residents;Identify factors contributing to hospitalization of nursing home residents.;John N Morris;John N Morris;2021-2025;;DataUsage/WP4/NursingHome/algorithms;
WP4;Prediction Model for Cognitive Decline Among Nursing Home Residents;Identify predisposing factors that contribute to a complex cognitive loss status and predict further decline.;John N Morris;John N Morris;2021-2025;;DataUsage/WP4/NursingHome/algorithms;
WP4;Prediction Model for Death Among Nursing Home Residents;Identify factors associated with death among nursing home residents.;John N Morris;John N Morris;2021-2025;;DataUsage/WP4/NursingHome/algorithms;
WP4;Prediction Model for Functional Decline Among Nursing Home Residents;Identify key tipping points on the ADL hierarchy scale where greater or lesser dependence in daily activities predicts future decline.;John N Morris;John N Morris;2021-2025;;DataUsage/WP4/NursingHome/algorithms;
WP4;Prediction Model for Change in Quality of Life Among Nursing Home Residents;Create the interRAI HRQoL index by comparing a person’s health-related quality of life scores from baseline to seven quarterly follow-ups and identifying factors linked to decline or improvement.;John N Morris;John N Morris;2021-2025;;DataUsage/WP4/NursingHome/algorithms;
